TAZ,population,population_altrnd
1,727,727
2,14,14
3,322,322
4,186,186
5,1669,1669
6,2138,2138
7,704,704
8,1303,1303
9,1320,1320
10,1370,1370
11,1627,1627
12,288,288
13,967,967
14,201,201
15,0,0
16,0,0
17,396,396
18,243,243
19,0,0
20,0,0
21,3730,3730
22,0,0
23,4,4
24,346,346
25,1941,1941
26,1132,1132
27,2525,2525
28,2249,2249
29,94,94
30,1012,1012
31,169,169
32,93,93
33,127,127
34,758,758
35,0,0
36,300,300
37,25,25
38,0,0
39,196,196
40,35,35
41,2,2
42,548,548
43,0,0
44,0,0
45,3,3
46,42,42
47,23,23
48,0,0
49,0,0
50,174,174
51,13,13
52,18,18
53,0,0
54,0,0
55,35,35
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,315,315
62,1995,1995
63,102,102
64,128,128
65,96,96
66,16,16
67,0,0
68,0,0
69,451,451
70,183,183
71,0,0
72,199,199
73,287,287
74,1644,1644
75,406,406
76,801,801
77,819,819
78,934,934
79,196,196
80,6,6
81,517,517
82,435,435
83,1872,1872
84,1839,1839
85,2114,2114
86,2047,2047
87,544,544
88,426,426
89,153,153
90,110,110
91,311,311
92,2056,2057
93,180,180
94,658,658
95,260,260
96,0,0
97,18,18
98,0,0
99,0,0
100,0,0
101,378,378
102,285,285
103,75,75
104,108,108
105,139,139
106,1146,1146
107,3251,3251
108,422,422
109,531,531
110,2109,2109
111,202,202
112,2159,2159
113,149,149
114,1651,1651
115,72,72
116,2666,2666
117,1472,1472
118,571,571
119,2102,2102
120,1939,1939
121,847,847
122,2308,2308
123,2225,2225
124,1666,1666
125,911,911
126,153,153
127,1194,1194
128,485,485
129,334,334
130,0,0
131,1512,1512
132,0,0
133,224,224
134,2374,2374
135,0,0
136,305,305
137,70,70
138,0,0
139,702,702
140,2,2
141,0,0
142,207,207
143,14,14
144,0,0
145,523,523
146,0,0
147,763,763
148,0,0
149,0,0
150,66,66
151,1054,1054
152,2924,2924
153,1427,1427
154,1203,1203
155,2683,2683
156,2722,2722
157,289,289
158,338,338
159,0,0
160,2081,2081
161,1807,1807
162,2605,2605
163,2165,2165
164,2676,2676
165,3106,3106
166,1375,1375
167,2581,2581
168,32,32
169,2347,2347
170,1735,1735
171,1326,1326
172,1524,1524
173,1327,1327
174,1049,1049
175,4474,4474
176,587,587
177,3316,3316
178,3526,3526
179,2069,2069
180,4526,4526
181,1983,1983
182,0,0
183,389,389
184,0,0
185,0,0
186,2356,2356
187,2050,2050
188,2052,2052
189,2077,2077
190,0,0
191,1763,1763
192,239,239
193,844,844
194,1167,1167
195,39,39
196,3226,3226
197,3130,3130
198,1190,1190
199,1085,1085
200,2121,2121
201,2900,2900
202,0,0
203,0,0
204,0,0
205,485,485
206,13,13
207,2651,2651
208,2507,2507
209,2088,2088
210,3736,3736
211,1407,1407
212,2005,2005
213,2542,2542
214,818,818
215,2089,2089
216,1767,1767
217,1402,1402
218,3061,3061
219,1684,1684
220,3740,3740
221,1606,1606
222,102,102
223,370,370
224,1656,1656
225,2068,2068
226,1079,1079
227,1657,1657
228,0,0
229,1406,1406
230,1589,1589
231,2340,2340
232,2851,2851
233,1905,1905
234,1548,1548
235,1929,1929
236,1483,1483
237,1308,1308
238,0,0
239,139,139
240,1656,1656
241,260,260
242,1614,1614
243,2842,2842
244,3069,3069
245,127,127
246,0,0
247,1072,1072
248,1218,1218
249,2250,2250
250,876,876
251,765,765
252,2716,2716
253,75,75
254,1005,1005
255,1144,1144
256,2122,2122
257,1487,1487
258,2345,2345
259,1202,1202
260,1876,1876
261,1204,1204
262,93,93
263,0,0
264,694,694
265,1194,1194
266,2094,2094
267,747,747
268,859,859
269,1423,1423
270,1552,1552
271,2018,2018
272,1465,1465
273,2353,2353
274,177,177
275,916,916
276,2806,2806
277,771,771
278,2446,2446
279,1644,1644
280,1411,1411
281,0,0
282,1633,1633
283,3,3
284,1,1
285,214,214
286,27,27
287,0,0
288,1124,1124
289,1024,1024
290,1140,1140
291,2495,2495
292,2006,2006
293,2636,2636
294,3933,3933
295,143,143
296,2614,2614
297,768,768
298,509,509
299,1588,1588
300,1307,1307
301,2130,2130
302,1789,1789
303,2331,2331
304,2331,2331
305,2474,2474
306,2050,2050
307,1759,1759
308,1865,1865
309,2948,2948
310,247,247
311,1802,1802
312,3112,3112
313,3458,3458
314,1790,1790
315,2,2
316,444,444
317,2401,2401
318,96,96
319,1905,1905
320,1319,1319
321,393,393
322,586,586
323,3045,3045
324,431,431
325,1978,1978
326,1674,1674
327,1513,1513
328,2441,2441
329,2830,2830
330,3095,3095
331,1672,1672
332,1540,1540
333,2976,2976
334,2554,2554
335,2010,2010
336,1742,1742
337,1749,1749
338,3142,3142
339,2270,2270
340,3478,3478
341,2781,2781
342,2855,2855
343,2397,2397
344,3063,3063
345,1841,1841
346,2,2
347,451,451
348,1905,1905
349,342,342
350,1692,1692
351,400,400
352,1759,1759
353,2052,2052
354,3920,3920
355,0,0
