TAZ,population
1,727
2,14
3,322
4,186
5,1669
6,2138
7,704
8,1303
9,1320
10,1370
11,1627
12,288
13,967
14,201
15,0
16,0
17,396
18,243
19,0
20,0
21,3730
22,0
23,4
24,346
25,1941
26,1132
27,2525
28,2249
29,94
30,1012
31,169
32,93
33,127
34,758
35,0
36,300
37,25
38,0
39,196
40,35
41,2
42,548
43,0
44,0
45,3
46,42
47,23
48,0
49,0
50,174
51,13
52,18
53,0
54,0
55,35
56,0
57,0
58,0
59,0
60,0
61,315
62,1995
63,102
64,128
65,96
66,16
67,0
68,0
69,451
70,183
71,0
72,199
73,287
74,1644
75,406
76,801
77,819
78,934
79,196
80,6
81,517
82,435
83,1872
84,1839
85,2114
86,2047
87,544
88,426
89,153
90,110
91,311
92,2056
93,180
94,658
95,260
96,0
97,18
98,0
99,0
100,0
101,378
102,285
103,75
104,108
105,139
106,1146
107,3251
108,422
109,531
110,2109
111,202
112,2159
113,149
114,1651
115,72
116,2666
117,1472
118,571
119,2102
120,1939
121,847
122,2308
123,2225
124,1666
125,911
126,153
127,1194
128,485
129,334
130,0
131,1512
132,0
133,224
134,2374
135,0
136,305
137,70
138,0
139,702
140,2
141,0
142,207
143,14
144,0
145,523
146,0
147,763
148,0
149,0
150,66
151,1054
152,2924
153,1427
154,1203
155,2683
156,2722
157,289
158,338
159,0
160,2081
161,1807
162,2605
163,2165
164,2676
165,3106
166,1375
167,2581
168,32
169,2347
170,1735
171,1326
172,1524
173,1327
174,1049
175,4474
176,587
177,3316
178,3526
179,2069
180,4526
181,1983
182,0
183,389
184,0
185,0
186,2356
187,2050
188,2396
189,1733
190,0
191,1763
192,239
193,844
194,1167
195,39
196,3226
197,3130
198,1190
199,1085
200,2121
201,2900
202,0
203,0
204,0
205,485
206,13
207,2651
208,2507
209,2088
210,3736
211,1407
212,2005
213,2542
214,818
215,2089
216,1767
217,1402
218,3061
219,1684
220,3740
221,1606
222,102
223,370
224,1675
225,2028
226,1079
227,1676
228,0
229,1406
230,1589
231,2340
232,2851
233,1905
234,1548
235,1929
236,1483
237,1308
238,0
239,139
240,1656
241,260
242,1614
243,2858
244,3069
245,112
246,0
247,1072
248,1218
249,2250
250,876
251,765
252,2716
253,75
254,1005
255,1144
256,2122
257,1487
258,2345
259,1202
260,1876
261,1204
262,93
263,0
264,694
265,1194
266,2094
267,747
268,859
269,1423
270,1552
271,2018
272,1465
273,2353
274,177
275,916
276,2806
277,771
278,2446
279,1644
280,1411
281,0
282,1633
283,3
284,1
285,214
286,27
287,0
288,1124
289,1024
290,1140
291,2496
292,2006
293,2636
294,3908
295,166
296,2614
297,768
298,509
299,1588
300,1307
301,2130
302,1785
303,2331
304,2331
305,2474
306,2049
307,1763
308,1865
309,2948
310,247
311,1802
312,3112
313,3458
314,1790
315,2
316,444
317,2401
318,96
319,1905
320,1319
321,393
322,586
323,3045
324,431
325,1978
326,1674
327,1513
328,2441
329,2830
330,3095
331,1672
332,1540
333,2976
334,2554
335,2010
336,1742
337,1749
338,3142
339,2270
340,3478
341,2781
342,2855
343,2397
344,3063
345,1841
346,2
347,451
348,1905
349,342
350,1692
351,400
352,1759
353,2052
354,3920
355,0
356,3136
357,0
358,594
359,0
360,1349
361,2460
362,2472
363,1201
364,3146
365,2956
366,3452
367,2600
368,2474
369,3682
370,4328
371,3742
372,2027
373,2893
374,1662
375,1687
376,930
377,691
378,729
379,3283
380,2527
381,1646
382,2114
383,3246
384,2452
385,2403
386,2330
387,668
388,2787
389,3513
390,2300
391,2057
392,2827
393,2337
394,2237
395,1672
396,0
397,2
398,533
399,0
400,3030
401,1782
402,1545
403,2294
404,3055
405,3155
406,2507
407,754
408,2735
409,3001
410,3087
411,1783
412,2064
413,3486
414,2463
415,3011
416,3646
417,2138
418,3228
419,2372
420,1643
421,2057
422,3872
423,2577
424,2230
425,2540
426,2870
427,3732
428,2219
429,1242
430,2086
431,3495
432,3938
433,1790
434,2556
435,1892
436,1912
437,358
438,2522
439,2515
440,1895
441,2361
442,1721
443,2012
444,2802
445,547
446,307
447,2015
448,2270
449,1903
450,3420
451,2732
452,2457
453,1532
454,3183
455,391
456,493
457,2849
458,984
459,1989
460,2303
461,2903
462,1723
463,1955
464,393
465,0
466,0
467,278
468,1359
469,1776
470,1214
471,2474
472,2123
473,13
474,3150
475,2056
476,2181
477,2569
478,3668
479,2049
480,1447
481,510
482,2045
483,4128
484,855
485,117
486,370
487,1934
488,2801
489,2276
490,3456
491,4293
492,1957
493,2333
494,2192
495,2342
496,3294
497,2232
498,2766
499,980
500,1264
501,2445
502,1010
503,905
504,338
505,1512
506,4144
507,2878
508,3708
509,2275
510,1763
511,2882
512,2111
513,2628
514,2214
515,3878
516,3435
517,1236
518,2493
519,2257
520,1106
521,1857
522,1836
523,1965
524,2971
525,3888
526,2865
527,12
528,0
529,2479
530,1114
531,1938
532,1577
533,3220
534,2113
535,2709
536,2882
537,886
538,3202
539,1561
540,1289
541,727
542,2158
543,2582
544,1907
545,2368
546,2692
547,2078
548,1012
549,2457
550,3472
551,590
552,1979
553,2622
554,1338
555,1949
556,2352
557,1786
558,1540
559,1096
560,181
561,1632
562,1772
563,0
564,0
565,517
566,3769
567,2678
568,2581
569,2594
570,2857
571,3723
572,1701
573,2060
574,2316
575,2890
576,2232
577,2358
578,1589
579,0
580,286
581,182
582,668
583,1009
584,2924
585,1774
586,1861
587,1883
588,1935
589,2370
590,1512
591,1334
592,0
593,0
594,0
595,0
596,1210
597,1586
598,2180
599,2119
600,3339
601,2244
602,2341
603,923
604,281
605,2071
606,2162
607,3117
608,740
609,201
610,2173
611,1929
612,1585
613,3085
614,2947
615,3387
616,2012
617,1302
618,1783
619,1629
620,2697
621,2821
622,2281
623,1990
624,1881
625,1654
626,247
627,208
628,250
629,884
630,674
631,571
632,1642
633,172
634,952
635,410
636,245
637,430
638,895
639,0
640,17
641,382
642,611
643,416
644,3631
645,0
646,1737
647,1369
648,1104
649,1274
650,770
651,2248
652,0
653,3039
654,251
655,120
656,939
657,102
658,431
659,1665
660,826
661,878
662,1548
663,1281
664,214
665,1367
666,2563
667,1966
668,860
669,1110
670,1617
671,992
672,1597
673,819
674,2077
675,1786
676,1311
677,669
678,1645
679,195
680,1036
681,825
682,2088
683,3295
684,1692
685,166
686,388
687,355
688,5
689,24
690,864
691,1460
692,0
693,150
694,2024
695,935
696,726
697,150
698,1899
699,749
700,1146
701,582
702,1195
703,2071
704,1304
705,1852
706,1303
707,1798
708,1095
709,958
710,1138
711,141
712,193
713,1089
714,547
715,2315
716,35
717,1511
718,1746
719,1854
720,1954
721,1194
722,3046
723,0
724,0
725,371
726,664
727,568
728,0
729,2138
730,4410
731,3032
732,2180
733,3485
734,1314
735,3540
736,1370
737,3804
738,2419
739,2065
740,1710
741,3122
742,2012
743,1029
744,1796
745,1342
746,1668
747,1140
748,2392
749,1604
750,2176
751,1497
752,1346
753,1252
754,916
755,3974
756,3410
757,344
758,896
759,3078
760,1439
761,1700
762,1242
763,1980
764,1953
765,538
766,4341
767,2263
768,2875
769,1245
770,3598
771,1769
772,1015
773,2959
774,3638
775,2631
776,2055
777,3874
778,2585
779,3075
780,2694
781,2504
782,2884
783,1544
784,2790
785,2164
786,2920
787,3987
788,1882
789,546
790,1357
791,1781
792,3096
793,2640
794,3404
795,3044
796,2302
797,1918
798,2452
799,2423
800,1416
801,2016
802,497
803,2128
804,1480
805,2674
806,416
807,1152
808,52
809,30
810,1042
811,227
812,1862
813,1470
